식품코드,식품코드명
51237,"빵,델리만쥬"
51242,"빵,식빵,밤식빵"
51248,"과자,소라깡"
51255,"과자,오사쯔(해태제과)"
51257,"빵,식빵,우유식빵(파리바게뜨)"
51268,"초코바,미니트윅스(MrFoodKorea)"
51285,"석류,주스,석류음료"
51314,"빙과/샤베트,빙빙바(롯데제과)"
52100,"고카페인음료,에너지드링크"
61139,"과자,로투스씽글팩(한국로투스㈜)"
61143,"과자,스낵과자,누드빼빼로(롯데제과)"
61168,"카스테라,카스테라(파리바게뜨)"
61173,"사탕,아이셔(오리온)"
61179,"토마토,주스,하루야채(한국야쿠르트)"
61195,"빙과,아맛나(롯데삼강)"
61197,"아이스밀크,서주아이스주(서주)"
61223,"맥주,스타우트(하이트맥주㈜)"
61224,"맥주,하이네켄(하이네켄)"
61238,"간장,청정원소불고기양념(대상)"
81029,"과자,구워만든곡물그대로21((주)개미식품)"
81031,"과자,꼬깔콘 군옥수수맛(롯데)"
81033,"과자,꿀꽈배기(농심)"
81039,"과자,도도한나초(오리온)"
81040,"과자,도리토스 나쵸치즈맛(롯데제과)"
81048,"과자,매운새우깡(농심)"
81054,"과자,뿌셔뿌셔 불고기맛(오뚜기)"
81055,"과자,뿌셔뿌셔 양념치킨맛(오뚜기)"
81056,"과자,새우깡(농심)"
81059,"과자,스윙칩 오리지날(오리온프리토레이)"
81062,"과자,썬칩 오리지널(오리온)"
81063,"과자,썬칩 핫스파이시(오리온)"
81065,"과자,양파깡(농심)"
81068,"과자,옥수수브이콘(진한제과)"
81071,"과자,왕고래밥(오리온)"
81074,"과자,인디안밥(농심)"
81078,"과자,초코과자미쯔(오리온)"
81079,"과자,초코비(토하토)"
81081,"과자,치킨팝 닭강정맛(오리온)"
81082,"과자,카라멜콘메이플(크라운제과)"
81084,"과자,콘초코(크라운제과)"
81086,"과자,콘치(크라운제과)"
81087,"과자,콘칩(오리온)"
81088,"과자,콩과자(경화당제과)"
81245,"미숫가루,이롬황성주 생식플러스((주)이롬)"
81289,"빵,부쉬맨브레드(아웃백스테이크하우스)"
81295,"샌드과자,롯데샌드 깜뜨(롯데)"
81301,"샌드과자,크라운산도 딸기맛(크라운제과)"
81302,"샌드과자,키드오(필리핀 Modne Nissin Corp.)"
81326,"시리얼,켈로그 스페셜K(농심)"
81328,"시리얼,켈로그 오곡으로만든첵스초코(농심켈로그)"
81329,"시리얼,켈로그 첵스초코유에프오(농심)"
81330,"시리얼,켈로그 초코첵스(농심)"
81335,"시리얼,켈로그 후르트링(농심)"
81336,"시리얼,퀘이커오츠(The Quaker Oats Com)"
81341,"시리얼,포스트 그래놀라(동서식품)"
81342,"시리얼,포스트 그래놀라블루베리(동서식품)"
81343,"시리얼,포스트 그래놀라크랜베리아몬드(동서식품)"
81351,"시리얼,포스트 오곡코코볼(동서식품)"
81353,"시리얼,포스트 오레오오즈(동서식품)"
81354,"시리얼,포스트 콘푸라이트(동서식품)"
81355,"시리얼,포스트 콘푸라이트1/3슈거라이트(동서식품)"
81356,"시리얼,포스트 콘푸로스트(동서식품)"
81384,"쌀과자,미왕 쌀과자(우리씨앤디(주))"
81390,"쌀과자,참쌀선과(크라운제과)"
81393,"쌀과자,크라운 참쌀설병(크라운)"
81428,"웨하스,네스킥 초코웨하스(네슬레)"
81429,"웨하스,로아커(Loacker) Minis 바닐라맛(로아커)"
81433,"웨하스,쿠크다스 화이트(크라운제과)"
81434,"웨하스,쿠크다스커피슬림(크라운제과)"
81436,"웨하스,키커(크라운제과)"
81437,"웨하스,화이트하임(크라운제과)"
81473,"죽,양반 야채죽(동원F&B)"
81487,"초코파이,몽쉘 카카오케이크(롯데제과)"
